1103,103,New Democratic Party,2012-12-31,50.0
1104,104,New Democratic Party,2012-12-31,400.0
1105,105,New Democratic Party,2012-12-31,100.0
1106,106,New Democratic Party,2012-12-31,500.0
1107,107,New Democratic Party,2012-12-31,200.0
1108,108,New Democratic Party,2012-12-31,200.0
1109,109,New Democratic Party,2012-12-31,50.0
1110,110,New Democratic Party,2012-12-31,150.0
1111,111,New Democratic Party,2012-12-31,100.0
1112,112,New Democratic Party,2012-12-31,25.0
1113,113,New Democratic Party,2012-12-31,50.0
1114,114,New Democratic Party,2012-12-31,50.0
1115,115,New Democratic Party,2012-12-31,100.0
1116,116,New Democratic Party,2012-12-31,75.0
1117,117,New Democratic Party,2012-12-31,100.0
1118,118,New Democratic Party,2012-12-31,1000.0
1119,119,New Democratic Party,2012-12-31,175.0
1120,120,Liberal Party of Canada,2013-12-31,20.0
1121,121,Liberal Party of Canada,2012-12-31,100.0
1122,122,New Democratic Party,2012-12-31,100.0
1123,123,Liberal Party of Canada,2013-12-31,20.0
1124,124,Liberal Party of Canada,2013-12-31,50.0
1125,125,Liberal Party of Canada,2013-12-31,10.0
1126,126,Liberal Party of Canada,2013-12-31,10.0
1127,127,Liberal Party of Canada,2013-12-31,20.0
1128,128,Liberal Party of Canada,2012-12-31,200.0
1129,129,Liberal Party of Canada,2012-12-31,100.0
1130,130,Liberal Party of Canada,2013-12-31,20.0
1131,131,Liberal Party of Canada,2013-12-31,100.0
1132,132,Liberal Party of Canada,2013-12-31,1200.0
1133,133,Liberal Party of Canada,2012-12-31,100.0
1134,134,Liberal Party of Canada,2013-12-31,100.0
1135,135,Liberal Party of Canada,2012-12-31,500.0
1136,136,Liberal Party of Canada,2012-12-31,200.0
1137,137,Liberal Party of Canada,2013-12-31,100.0
1138,138,Liberal Party of Canada,2012-12-31,25.0
1139,139,Liberal Party of Canada,2012-12-31,20.0
1140,140,Liberal Party of Canada,2014-12-31,20.0
1141,141,Liberal Party of Canada,2014-12-31,800.0
1142,142,Liberal Party of Canada,2012-12-31,100.0
1143,143,Liberal Party of Canada,2012-12-31,20.0
1144,144,Liberal Party of Canada,2013-12-31,10.0
1145,145,Liberal Party of Canada,2013-12-31,20.0
1146,146,Liberal Party of Canada,2013-12-31,25.0
1147,147,Liberal Party of Canada,2013-12-31,20.0
1148,148,Liberal Party of Canada,2013-12-31,20.0
1149,149,Liberal Party of Canada,2013-12-31,750.0
1150,150,Liberal Party of Canada,2013-12-31,20.0
1151,151,Liberal Party of Canada,2013-12-31,600.0
1152,152,Liberal Party of Canada,2013-12-31,150.0
1153,153,Liberal Party of Canada,2013-12-31,1200.0
1154,154,Liberal Party of Canada,2013-12-31,400.0
1155,155,Liberal Party of Canada,2013-12-31,20.0
1156,156,Liberal Party of Canada,2013-12-31,120.0
