96,Marxist-Leninist,Paul Lane,Hamilton Mountain
97,Liberal,Sydney Garrioch,Churchill
98,Green Party,Robyn Kenny,Bonavista--Gander--Grand Falls--Windsor
99,Green Party,Lindsay Thompson,Scarborough Centre
100,NDP-New Democratic Party,Joe Comartin,Windsor--Tecumseh
101,Liberal,Tim Kane,Saanich--Gulf Islands
102,NDP-New Democratic Party,Scott Wilson,Cypress Hills--Grasslands
103,NDP-New Democratic Party,James Caron,Mississauga--Streetsville
104,Bloc Québécois,Audrey Beauséjour,Honoré-Mercier
105,Green Party,Michel Champagne,Brome--Missisquoi
106,Conservative,Mark Strahl,Chilliwack--Fraser Canyon
107,Conservative,Harry Tsai,Scarborough--Agincourt
108,Conservative,Lianne Rood,Lambton--Kent--Middlesex
109,PACT,Michael Nicula,Spadina--Fort York
110,Green Party,Michael Kalmanovitch,Edmonton Strathcona
111,Green Party,Hilary Crowley,Prince George--Peace River
112,Liberal,Anthony Rota,Nipissing--Timiskaming
113,Liberal,Rod Frank,Sherwood Park--Fort Saskatchewan
114,Green Party,Patrick Larkin,Prince Edward--Hastings
115,Conservative,Peter Penashue,Labrador
116,Green Party,Chris Albinati,Bruce--Grey--Owen Sound
117,Green Party,Cameron Stiff,Vaudreuil--Soulanges
118,Communist,Scott Gilbert,Guelph
119,Liberal,Isabelle Bergeron,Abitibi--Baie-James--Nunavik--Eeyou
120,Parti Rhinocéros Party,Xavier Watso,Dorval--Lachine--LaSalle
121,CHP Canada,Frank Wagner,Nanaimo--Alberni
122,Conservative,Stockwell Day,Okanagan--Coquihalla
123,Conservative,François Desrochers,Mirabel
124,Green Party,Graham Murray,Medicine Hat
125,Green Party,Katherine Turgeon,Shefford
126,PC Party,Andrew Skinner,Prince Edward--Hastings
127,Conservative,Neil Martin Drabkin,Mount Royal
128,Conservative,Harpreet Turka,Winnipeg North
129,Conservative,Marlene Gallyot,Scarborough--Rouge River
130,Liberal,Derek Wells,South Shore--St. Margaret's
131,VCP,Brian Littlepine,Prince Albert
132,People's Party,Julius Nick Csaszar,Mission--Matsqui--Fraser Canyon
133,Green Party,John Fryer,Nanaimo--Alberni
134,Conservative,Robert Goguen,Moncton--Riverview--Dieppe
135,Libertarian,James Plummer,Regina--Qu'Appelle
136,People's Party,Rick Stewart,Kootenay--Columbia
137,Communist,Michelle Paquette,Ottawa--Vanier
138,Green Party,David Weber,Kitchener South--Hespeler
139,Green Party,Grace Yogaretnam,Mississauga--Brampton South
140,NDP-New Democratic Party,Lise St-Denis,Longueuil--Pierre-Boucher
141,NDP-New Democratic Party,Lawrence Joseph,Desneth�--Missinippi--Churchill River
142,NDP-New Democratic Party,Shailene Panylo,Oshawa
143,Green Party,Sarah Climenhaga,Toronto--St. Paul's
144,Green Party,Nicki Ward,York South--Weston
145,Liberal,Lucille Whissell,Saint-Maurice--Champlain
146,Conservative,Mary Lou Ambrogio,London--Fanshawe
147,Green Party,Claire Kelly,Moncton--Riverview--Dieppe
148,Marxist-Leninist,Wendell Fields,Hamilton East--Stoney Creek
149,NDP-New Democratic Party,Ellen Parker,Crowfoot
150,NDP-New Democratic Party,Nettie Wiebe,Saskatoon--Rosetown--Biggar
151,Conservative,John Carmichael,Don Valley West
152,NDP-New Democratic Party,Gil McGowan,Edmonton Centre
153,Conservative,Julius Patkai,Cardigan
154,Liberal,Jordan LaPlante,Battlefords--Lloydminster
155,Green Party,David Hachey,Central Nova
156,Liberal,Neelam Brar,Burnaby South
157,Green Party,Alex Gomm,Nipissing--Timiskaming
158,Conservative,John Wallace,Saint John
159,Liberal,Shinder Purewal,Surrey North
160,NDP-New Democratic Party,Dianna Allen,Nipissing--Timiskaming
161,Green Party,Dalila Elhak,Beauport--Limoilou
162,Bloc Québécois,Lizabel Nitoi,Marc-Aurèle-Fortin
163,Communist,Harinderpal Hundal,Brampton North
164,Liberal,Pierre Pettigrew,Papineau
