946,Marxist-Leninist,Charles Boylan,Vancouver South
947,NDP-New Democratic Party,Della Drury,Westlock--St. Paul
948,Liberal,Liliane Maisonneuve,Peace River
949,NDP-New Democratic Party,Matthew Dubé,Beloeil--Chambly
950,Liberal,Carolyn Bennett,Toronto--St. Paul's
951,Bloc Québécois,Jean-François Caron,Jonquière
952,Conservative,Claude Chalhoub,Beloeil--Chambly
953,Green Party,Jo-Ann Roberts,Victoria
954,Liberal,Sanam S. Kang,Calgary Northeast
955,People's Party,Roland Spornicu,Coquitlam--Port Coquitlam
956,Bloc Qu�b�cois,Claude Bachand,Saint-Jean
957,Animal Protection Party,Liz White,University--Rosedale
958,Green Party,Stefan Dixon,Scarborough Southwest
959,Green Party,Marilyn Redivo,Saint-Jean
960,Conservative,Jack McClintock,Victoria
961,NDP-New Democratic Party,Phil Allt,Guelph
962,NDP-New Democratic Party,Cheryl Meheden,Lethbridge
963,Liberal,Geoff Fleischer,Vancouver Island North
964,Green Party,Scott Leyland,British Columbia Southern Interior
965,NDP-New Democratic Party,Rapha�l Fortin,Verch�res--Les Patriotes
966,Animal Alliance/Environment Voters,Yvonne Mackie,Newmarket--Aurora
967,Conservative,Ken Graham,Timmins--James Bay
968,Conservative,Dick Harris,Cariboo--Prince George
969,Liberal,Kevin Lamoureux,Winnipeg North
970,Green Party,Kyle Grice,Halton
971,NDP-New Democratic Party,Andrew Mason,Saskatoon--Humboldt
972,Liberal,Hardy Staub,South Surrey--White Rock--Cloverdale
973,Conservative,Ghada Melek,Mississauga--Streetsville
974,ML,Gisèle Desrochers,Rosemont--La Petite-Patrie
975,Conservative,Tom Pentefountas,Laval--Les Îles
976,Independent,Dragan Cimesa,York South--Weston
977,NDP-New Democratic Party,Tom Young,Parry Sound--Muskoka
978,Canadian Action,Magnus Thompson,Winnipeg South Centre
979,Green Party,Ray Power,Burnaby--Douglas
980,Conservative,Gaston No�l,Rimouski-Neigette--T�miscouata--Les Basques
981,Conservative,Michel Morand,Joliette
982,Independent,Jeffrey Breti,Surrey Centre
983,ML,Garnet Colly,Saint-Léonard--Saint-Michel
984,NDP-New Democratic Party,C�line Brault,Pontiac
985,Independent,Tim Hickey,Prince Edward--Hastings
986,NDP-New Democratic Party,Anna Mather,Brampton--Springdale
987,NDP-New Democratic Party,James Hughes,Notre-Dame-de-Grâce--Westmount
988,NDP-New Democratic Party,Carol E. Harris,Kings--Hants
989,NDP-New Democratic Party,Janice Bernier,Regina--Qu'Appelle
990,Liberal,Andrew Lang,Toronto--Danforth
991,Liberal,Mike Holland,Vancouver Island North
992,Conservative,Jilian Saweczko,York South--Weston
993,Bloc Qu�b�cois,Jacques Lacha�ne,Saint-Laurent--Cartierville
994,CAP,Doug Hartt,West Vancouver--Sunshine Coast--Sea to Sky Country
995,Conservative,Len Thom,Edmonton Strathcona
996,Liberal,Nancy Karetak-Lindell,Nunavut
997,Conservative,Greg Thompson,New Brunswick Southwest
998,NDP-New Democratic Party,Fred Clipsham,Regina--Qu'Appelle
999,Marxist-Leninist,Enver Villamizar,Essex
1000,Conservative,Rob Clarke,Desneth�--Missinippi--Churchill River
1001,Independent,Shahid Khan,Pierrefonds--Dollard
1002,Liberal,Bruck Easton,Windsor--Tecumseh
1003,NDP-New Democratic Party,Terry Platt,West Vancouver--Sunshine Coast--Sea to Sky Country
1004,VCP,Keith Rosenberg,Victoria
1005,NDP-New Democratic Party,Jenny Kwan,Vancouver East
1006,NDP-New Democratic Party,Jerome Adamo,Oakville
1007,Green Party,Don Woodstock,Winnipeg Centre
1008,NDP-New Democratic Party,Laurie Suitor,Cape Breton--Canso
1009,Green Party,Damien Pichereau,Mount Royal
1010,People's Party,David Haskell,Cambridge
1011,Green Party,Anne-Marie Tanguay,Bas-Richelieu--Nicolet--B�cancour
1012,Green Party,Diane Joubert,Saint-Lambert
1013,Rhinoceros,Tommy Gaudet,Papineau
1014,Green Party,André Bélisle,Bellechasse--Les Etchemins--Lévis
1015,Liberal,Ginette Petitpas Taylor,Moncton--Riverview--Dieppe
1016,Liberal,Mary Jean McFall,Leeds-Grenville-Thousand Islands and Rideau Lakes
1017,Green Party,Richard Zurawski,Halifax West
1018,Christian Heritage Party,Tom Lipp,Bow River
1019,Liberal,Maria Minna,Beaches--East York
1020,People's Party,John Barr,Kelowna--Lake Country
1021,NDP-New Democratic Party,Rosaire L'Italien,Madawaska--Restigouche
1022,NDP-New Democratic Party,Craig Scott,Toronto--Danforth
1023,Green Party,Barbara Joannette,La Prairie
1024,Green Party,Lois Carol Mitchell,Saskatoon West
1025,Liberal,Amy Bronson,Lethbridge
1026,Green Party,Robin Williamson,Welland
1027,Green Party,Marnie Mellish,Burlington
1028,Liberal,Patty Hajdu,Thunder Bay--Superior North
1029,Libertarian,Paolo Fabrizio,Barrie
1030,Bloc Québécois,Claude Debellefeuille,Salaberry--Suroît
1031,Liberal,Taleeb Noormohamed,North Vancouver
1032,Liberal,Greg McClinchey,Huron--Bruce
1033,Green Party,Claude Bertrand,Pontiac
1034,Liberal,Charles Ghorayeb,Ch�teauguay--Saint-Constant
1035,NDP-New Democratic Party,Russ Johnson,LaSalle--�mard
1036,Liberal,Patrick Weiler,West Vancouver--Sunshine Coast--Sea to Sky Country
1037,Independent,Imtiaz Popat,Vancouver Centre
1038,Liberal,Alan Ho,Markham--Unionville
1039,Conservative,Kevin Nguyen,York West
1040,Liberal,Marc Pettersen,Chicoutimi--Le Fjord
1041,Communist,Chris Frazer,Central Nova
1042,Liberal,Jake Gray,Langley
1043,Green Party,Bernadette Keenan,Surrey North
1044,Liberal,Isabel Paynter,Macleod
1045,Green Party,Ajay Krishnan,Whitby--Oshawa
1046,Green Party,Amy Collard,Halton
1047,People's Party,Jean Landry,Richmond--Arthabaska
1048,Conservative,Effie Triantafilopoulos,Oakville North--Burlington
1049,Green Party,Yumi Yow Mei Ang,Montcalm
1050,Green Party,Jean-Martin Gauthier,Chicoutimi--Le Fjord
1051,Independent,Clifford James Williams,Kings--Hants
1052,Conservative,Kyle Seeback,Dufferin--Caledon
1053,Green Party,Brent Allan Bouteiller,Wellington--Halton Hills
1054,Liberal,Ryan Windsor,Saanich--Gulf Islands
1055,Liberal,Raj Saini,Kitchener Centre
1056,Marxist-Leninist,Daniel Blanchard,Calgary Northeast
1057,NDP-New Democratic Party,�ve P�clet,La Pointe-de-l'�le
1058,Conservative,Qais Hamidi,Saint-Lambert
1059,NDP-New Democratic Party,Terry Albright,Saint John
1060,CHP Canada,Bryan Jongbloed,Niagara West--Glanbrook
1061,Conservative,Peter Chirico,Nipissing--Timiskaming
1062,Liberal,Jean Rioux,Saint-Jean
1063,Conservative,Raminder Gill,Mississauga--Streetsville
1064,Liberal,Chantal Pilon,Rimouski-Neigette--Témiscouata--Les Basques
1065,Liberal,Anju Dhillon,Dorval--Lachine--LaSalle
1066,NDP-New Democratic Party,Julian West,Saanich--Gulf Islands
1067,Liberal,Pat Finnigan,Miramichi--Grand Lake
1068,Christian Heritage Party,Sean Mulligan,Ottawa West--Nepean
1069,Canadian Action,Jerry Ackerman,Lanark--Frontenac--Lennox and Addington
1070,People's Party,Jean Langlais,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs
1071,Conservative,Jimmy Yu,Saint-Laurent
1072,Independent,Ahmed Bouragba,Ottawa South
1073,NDP-New Democratic Party,Mark de Pelham,Mississauga South
1074,Conservative,Logan McLellan,Egmont
1075,Christian Heritage Party,Michael Hopkins,Elgin--Middlesex--London
1076,NDP-New Democratic Party,Jack Harris,St. John's East
1077,Green Party,Michelle Aubin,Acadie--Bathurst
1078,Green Party,Richard Henryk Zurawski,Halifax West
1079,Green Party,John Baranyi,Lanark--Frontenac--Lennox and Addington
1080,Green Party,Theodore Kouretas,Laval--Les �les
1081,Liberal,Monica Lysack,Regina--Lumsden--Lake Centre
1082,ML,Eileen Studd,LaSalle--Émard--Verdun
1083,Liberal,Nirmala Naidoo,Calgary Skyview
1084,Green Party,Vere Scott,Winnipeg South Centre
1085,Green Party,Will Cooper,Kings--Hants
1086,People's Party,Stepan Balatsko,Hochelaga
1087,Independent,Dean Shock,Medicine Hat
1088,People's Party,Mario-Roberto Lam,Gatineau
1089,CHP Canada,Gerard Groenendijk,Crowfoot
1090,Green Party,Sarah Palmer,Red Deer--Lacombe
1091,Conservative,Ian McCracken,Nickel Belt
1092,Liberal,Suzanne van Bommel,Elgin--Middlesex--London
1093,Liberal,Brenda Chamberlain,Guelph
1094,Communist,Bill Sloan,Westmount--Ville-Marie
1095,NDP-New Democratic Party,Keith McCrady,Scarborough Southwest
1096,Conservative,Isabelle Lapointe,La Prairie
1097,Conservative,Robert Sopuck,Dauphin--Swan River--Marquette
1098,NDP-New Democratic Party,Jennifer Hollett,University--Rosedale
1099,NDP-New Democratic Party,Nathan Paul Cullen,Skeena--Bulkley Valley
1100,People's Party,Randy Manseau,La Pointe-de-l'Île
1101,Conservative,Gordon Ferguson,Manicouagan
1102,Liberal,Roger Gallaway,Sarnia--Lambton
1103,Liberal,Ruby Dhalla,Brampton--Springdale
1104,People's Party,Matthew Armstrong,Edmonton West
1105,Conservative,Tom Varughese,Mississauga--Malton
1106,Forces et Démocratie - Allier les forces de nos régions,Manon Perreault,Montcalm
1107,Liberal,Dave McPhail,Sarnia--Lambton
1108,NDP-New Democratic Party,Niki Ashton,Churchill
1109,NDP-New Democratic Party,Sophie Thiébaut,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs
1110,Liberal,Marc Muhammad,Surrey North
1111,Green Party,Mike Harilaid,Ajax--Pickering
1112,Conservative,Pat Kelly,Calgary Rocky Ridge
1113,Green Party,Laurence Requilé,Lac-Saint-Jean
1114,Green Party,Ed Baye,Chilliwack--Fraser Canyon
1115,Green Party,Robert Hudon,Louis-H�bert
1116,Pirate Party,Mike Bleskie,Ottawa South
1117,Green Party,Genevieve Malouin-Diraddo,Glengarry--Prescott--Russell
1118,Green Party,Moe Garahan,Pontiac
1119,Conservative,Deborah Meredith,Vancouver Quadra
1120,Bloc Qu�b�cois,Daniel Paill�,Hochelaga
1121,Marijuana Party,Terry Parker,Parkdale--High Park
1122,People's Party,Youssef Khanjari,Thunder Bay--Superior North
1123,Green Party,Anne Marie Benoit,Nanaimo--Cowichan
1124,NDP-New Democratic Party,Michael Nenn,Mission--Matsqui--Fraser Canyon
1125,Libertarian,Zachary Linnick,Churchill--Keewatinook Aski
1126,FPNP,Will Morin,Sudbury
1127,Liberal,Aileen Carroll,Barrie
1128,Green Party,Jocelyn Grossé,Calgary Nose Hill
1129,Bloc Québécois,Marilène Gill,Manicouagan
1130,Conservative,Véronique Laprise,Beloeil--Chambly
1131,Conservative,Andrew Saxton,North Vancouver
1132,Green Party,Nils Ling,Egmont
1133,Liberal,Ralph Goodale,Wascana
1134,Green Party,Jean-Philippe Laflamme,Delta--Richmond East
1135,NDP-New Democratic Party,Bev Collins,Cariboo--Prince George
1136,Libertarian,Richard Styve,Elgin--Middlesex--London
1137,Bloc Qu�b�cois,Guy C�t�,Portneuf--Jacques-Cartier
1138,Green Party,Françoise Aubin,Madawaska--Restigouche
1139,NDP-New Democratic Party,Myrna Clark,Barrie
1140,Liberal,Bonnie Crombie,Mississauga--Streetsville
1141,Conservative,Sylvie Lavall�e,Joliette
1142,Libertarian,Coreen Corcoran,Ottawa--Vanier
1143,Liberal,Nicole Larouche,Lotbini�re--Chutes-de-la-Chaudi�re
1144,Independent,John Clayton Turner,Medicine Hat--Cardston--Warner
1145,NDP-New Democratic Party,Syeda Riaz,Don Valley West
1146,People's Party,Luke Quinlan,Northwest Territories
1147,Liberal,Betsy McGregor,Peterborough
1148,NDP-New Democratic Party,Wayne Stetski,Kootenay--Columbia
1149,People's Party,Ian Prittie,Don Valley West
1150,Liberal,Francis Scarpaleggia,Lac-Saint-Louis
1151,Liberal,Allyce Herle,Regina--Qu'Appelle
1152,CHP Canada,George Okoth Otura,York West
1153,People's Party,Gabriel Côté,Manicouagan
1154,Marxist-Leninist,Rachel Hoffman,Notre-Dame-de-Gr�ce--Lachine
1155,Conservative,Kathy Laframboise,Ahuntsic-Cartierville
1156,Green Party,Michael Bell,Peterborough
1157,VCP,Randy Joy,Sydney--Victoria
1158,Libertarian,Mark Jeftovic,Parkdale--High Park
1159,CAP,Ben Kelly,Fredericton
1160,Liberal,Kevin Walsh,Selkirk--Interlake
1161,Independent,Daniel Predie Jr,Parry Sound--Muskoka
1162,NDP-New Democratic Party,Miranda Gallo,Saint-Laurent
1163,Green Party,Brian Newbold,Fleetwood--Port Kells
1164,Libertarian,W. Todd Keller,Prince George--Peace River--Northern Rockies
1165,Liberal,Isabel Metcalfe,Carleton--Mississippi Mills
1166,Green Party,Lou Carcasole,Willowdale
1167,Rhinoceros,Lou Bernardi,Elgin--Middlesex--London
1168,Liberal,Don McArthur,Thunder Bay--Superior North
1169,Green Party,David Doel,Oakville
1170,NDP-New Democratic Party,Gordon Guyatt,Ancaster--Dundas--Flamborough--Westdale
1171,PC Party,Rob Wolvin,Etobicoke Centre
1172,Liberal,Ralph Goodale,Regina--Wascana
1173,NDP-New Democratic Party,Matt Henderson,Winnipeg South Centre
1174,NDP-New Democratic Party,Raymond Côté,Beauport--Limoilou
1175,Independent,Ron Sanderson,Calgary Northeast
1176,Liberal,Ian Sutherland,West Vancouver--Sunshine Coast--Sea to Sky Country
1177,NDP-New Democratic Party,Michelle Spencer,Scarborough--Guildwood
1178,VCP,Matthew Correia,Kitchener South--Hespeler
1179,NDP-New Democratic Party,Gerard Creces,Huron--Bruce
1180,Libertarian,Lewis Dahlby,Port Moody--Westwood--Port Coquitlam
1181,neorhino.ca,Judith Vienneau,Westmount--Ville-Marie
1182,Green Party,John A. McDonald,Desneth�--Missinippi--Churchill River
1183,Radical Marijuana,Robin Kehler,West Vancouver--Sunshine Coast--Sea to Sky Country
1184,Marijuana Party,James Bender,Oxford
1185,Green Party,Cailin Bartlett,Lethbridge
1186,NDP-New Democratic Party,Geoff Krauter,Perth--Wellington
1187,Conservative,Mustaque A. Sarker,Papineau
1188,NDP-New Democratic Party,Mark Shmigelsky,Kootenay--Columbia
1189,CHP Canada,John C. Gardner,Etobicoke North
1190,Liberal,Pierre B�land,Rimouski-Neigette--T�miscouata--Les Basques
1191,Bloc Qu�b�cois,Carl Dubois,LaSalle--�mard
1192,CHP Canada,Geoffrey Capp,Lethbridge
1193,Conservative,Tyler Nesbitt,Skeena--Bulkley Valley
1194,Conservative,Nathalie Ferland Drolet,Chambly--Borduas
1195,Conservative,Chani Aryeh-Bain,Eglinton--Lawrence
1196,People's Party,Duncan McGenn,Halifax
1197,NDP-New Democratic Party,Alfred Julian Trudeau,Cariboo--Prince George
1198,Green Party,Tanya Baertl,Fleetwood--Port Kells
1199,Conservative,John Douglas Chiasson,Sydney--Victoria
1200,NDP-New Democratic Party,John Chan,Calgary Centre-North
1201,Liberal,Raymond Bonin,Nickel Belt
1202,Conservative,Yves Perras,La Prairie
1203,Canadian Action,James S. Kohut,Calgary Centre-North
1204,People's Party,Roger Fuhr,Perth--Wellington
1205,Conservative,Garreth McDonald,Winnipeg North
1206,Rhinoceros,Jean-Olivier Berthiaume,Ahuntsic
1207,Conservative,Denis Laflamme,Montmagny--L'Islet--Kamouraska--Rivi�re-du-Loup
1208,Conservative,Pat Davidson,Sarnia--Lambton
1209,Conservative,Arnold Viersen,Peace River--Westlock
1210,Green Party,Brendan Daniel Hughes,Thunder Bay--Superior North
1211,Liberal,Jennifer Malabar,Elmwood--Transcona
1212,Green Party,Catharine Kendall,Prince George--Peace River--Northern Rockies
1213,Conservative,Sonny Spina,Sault Ste. Marie
1214,Conservative,Terry Anderson,Hamilton Mountain
1215,PC Party,Brian Marlatt,South Surrey--White Rock--Cloverdale
1216,Bloc Qu�b�cois,G�rard Asselin,Manicouagan
1217,Conservative,Jeremy Dohan,Rosemont--La Petite-Patrie
1218,Conservative,Jag Sahota,Calgary Skyview
1219,Liberal,Anita Neville,Winnipeg South Centre
1220,Independent,Ulric DeGr�ce,Acadie--Bathurst
1221,Bloc Qu�b�cois,Jean-Yves Laforest,Saint-Maurice--Champlain
1222,Liberal,Irek Kusmierczyk,Windsor--Tecumseh
1223,Conservative,Hubert Pichet,La Pointe-de-l'�le
1224,People's Party,David Micalef,Mississauga Centre
1225,Conservative,Charles K. Langford,Laurier--Sainte-Marie
1226,Liberal,Yvon Boivin,Trois-Rivières
1227,Green Party,Iain Currie,Kamloops--Thompson--Cariboo
1228,Conservative,Pierre Harvey,Sherbrooke
1229,Marxist-Leninist,Frank Martin,Vancouver Island North
1230,Liberal,Jaime Battiste,Sydney--Victoria
1231,Liberal,Roxane Stanners,Saint-Lambert
1232,NDP-New Democratic Party,Mary Beckett,Northwest Territories
1233,People's Party,Erika Traub,Waterloo
1234,Independent,Ken Griffiths,West Nova
1235,Liberal,Joe Comuzzi,Thunder Bay--Superior North
1236,NDP-New Democratic Party,Colleen McCool,Manicouagan
1237,Green Party,Chris Tindal,Toronto Centre
1238,WBP,Bruce Burnett,Victoria
1239,NDP-New Democratic Party,Catherine Lusson,Brome--Missisquoi
1240,Christian Heritage Party,Gary Duyzer,Hamilton Centre
1241,NDP-New Democratic Party,Kathleen Mpulubusi,St. Albert--Edmonton
1242,Green Party,Deborah Coyne,Carleton
1243,Conservative,David Allan Tilson,Dufferin--Caledon
1244,Libertarian,Damien Wilson,Ottawa South
1245,Independent,Brian Gray,South Okanagan--West Kootenay
1246,Libertarian,Bronek Hart,Saskatoon West
1247,Liberal,Travis Dueck,Sturgeon River--Parkland
1248,Green Party,Brad Bird,Brandon--Souris
1249,Green Party,Frances Simonson,Regina--Wascana 
1250,Conservative,Costas Menegakis,Richmond Hill
1251,Liberal,Colin Wilson,Barrie--Innisfil
1252,Independent,Dick Estey,New Westminster--Coquitlam
1253,Marxist-Leninist,St�phane Ch�nier,Saint-L�onard--Saint-Michel
1254,NDP-New Democratic Party,Dave Nickle,Peterborough--Kawartha
1255,NDP-New Democratic Party,Morgan Gay,Ottawa South
1256,No Affiliation,Steve Penner,Papineau
1257,Conservative,Ruslan Yakoviychuk,Kingston and the Islands
1258,Green Party,Spencer Rocchi,Nunavut
1259,ML,Elaine Wismer,Mission--Matsqui--Fraser Canyon
1260,Green Party,Amber Van Drielen,Cariboo--Prince George
1261,NDP-New Democratic Party,Luke MacLaren,Moncton--Riverview--Dieppe
1262,People's Party,Jude Guerrier,Scarborough North
1263,Conservative,Rod Bruinooge,Winnipeg South
1264,Liberal,Chrystia Freeland,University--Rosedale
1265,People's Party,Roger Sampson,Brampton West
1266,Conservative,Blake Richards,Banff--Airdrie
1267,Christian Heritage Party,Joel Kidd,Bruce--Grey--Owen Sound
1268,Green Party,Paul Bettess,Winnipeg South
1269,Liberal,Stanley Haroun,Edmonton--St. Albert
1270,Liberal,Mervin Joseph Cushman,Yorkton--Melville
1271,Green Party,Dave Finlay,Brampton--Springdale
1272,NDP-New Democratic Party,Marc Laferriere,Brantford--Brant
1273,Conservative,Joe Daniel,Don Valley North
1274,Liberal,Scott Forsyth,Calgary Heritage
1275,Green Party,Sarah Samplonius,Ottawa--Orl�ans
1276,Green Party,Bob Deptuck,Souris--Moose Mountain 
1277,Canadian Action,Marcia Fogal,Palliser
1278,Conservative,Rondo Thomas,Ajax--Pickering
1279,NDP-New Democratic Party,Anne Minh-Thu Quach,Salaberry--Suroît
1280,Conservative,David Wilks,Kootenay--Columbia
1281,Christian Heritage Party,Colin Atkins,Brandon--Souris
1282,Conservative,Aaron Hynes,Bonavista--Gander--Grand Falls--Windsor
1283,NDP-New Democratic Party,Rachel Heinrichs,Winnipeg South Centre
1284,Green Party,Valerie Kennedy,Edmonton--Leduc
1285,Green Party,Pierre Nantel,Longueuil--Saint-Hubert
1286,Liberal,Karley Scott,Central Okanagan--Similkameen--Nicola
1287,Conservative,Douglas Horne,Coquitlam--Port Coquitlam
1288,Conservative,David Busch,Saanich--Gulf Islands
1289,Green Party,Jared Evans,Vancouver Centre
1290,Green Party,Richard Laushway,Mississauga South
1291,Liberal,Haley Brown,Calgary Midnapore
1292,Conservative,Ronald Leung,Burnaby--Douglas
1293,Liberal,Sabin Simard,Lac-Saint-Jean
1294,Conservative,Gary Schellenberger,Perth--Wellington
1295,Liberal,Lisa Abbott,Saskatoon West
1296,Conservative,Jean Thouin,Saint-Jean
1297,Independent,Sylvain Larocque,Salaberry--Suroît
1298,Marxist-Leninist,Sarah Thompson,Etobicoke Centre
1299,Liberal,Wendy Menzies,Dauphin--Swan River--Marquette
1300,NDP-New Democratic Party,Tom Paulley,Charleswood--St. James--Assiniboia
1301,NDP-New Democratic Party,Mylène Freeman,Mirabel
1302,Liberal,Christine Tabbert,Renfrew--Nipissing--Pembroke
1303,Liberal,Linda Wilhelm,Fundy Royal
1304,Liberal,Eleni Bakopanos,Ahuntsic
1305,People's Party,Aaron Archer,Portage--Lisgar
1306,Independent,James Sears,Beaches--East York
1307,Green Party,Christina Porter,Mississauga--Malton
1308,Christian Heritage Party,Harold J. Ludwig,Chilliwack--Fraser Canyon
1309,NDP-New Democratic Party,Dan Janssen,Barrie--Springwater--Oro-Medonte
1310,People's Party,Rob Bogunovic,Chilliwack--Hope
1311,NDP-New Democratic Party,Jeff Itcush,Mount Royal
1312,Liberal,Megan Pizzo Lyall,Nunavut
1313,CHP Canada,John Markus,Oxford
1314,PC Party,Nikolas Langlands,Surrey North
1315,NDP-New Democratic Party,Peter Stoffer,Sackville--Preston--Chezzetcook
1316,Bloc Québécois,Isabel Dion,LaSalle--Émard--Verdun
1317,Liberal,Margaret McLeod,Calgary--Nose Hill
1318,Conservative,Pierre-Thomas Asselin,Québec
1319,Green Party,Bob Eichenberger,Gasp�sie--�les-de-la-Madeleine
1320,Green Party,Patrick Benoît,Abitibi--Baie-James--Nunavik--Eeyou
1321,Marxist-Leninist,Alastair Haythornthwaite,Cowichan--Malahat--Langford
1322,Independent,Mike Volek,Brandon--Souris
1323,Green Party,Matthew Chisholm,Central Nova
1324,Green Party,Patty Donovan,Fundy Royal
1325,NDP-New Democratic Party,Farah Kalbouneh,Mississauga South
1326,Liberal,Ken Beck Lee,New Westminster--Coquitlam
1327,NDP-New Democratic Party,Alistair MacGregor,Cowichan--Malahat--Langford
1328,NDP-New Democratic Party,Peter Thurley,Kitchener Centre
1329,People's Party,Jeremy Lin,Markham--Stouffville
1330,Green Party,Alec Ware,Rivière-des-Mille-Îles
1331,Bloc Qu�b�cois,Robert Vincent,Shefford
1332,NDP-New Democratic Party,Christelle Bogosta,Brome--Missisquoi
1333,Libertarian,Donald L. Grant,Selkirk--Interlake--Eastman
1334,Green Party,Brenda Sayers,North Island--Powell River
1335,Animal Protection Party,Kira Cheeseborough,Kamloops--Thompson--Cariboo
1336,Liberal,Ed Crewson,Dufferin--Caledon
1337,Independent,Daniel John Fey,Glengarry--Prescott--Russell
1338,Green Party,Robert B�rub� Jr.,Tobique--Mactaquac
1339,NDP-New Democratic Party,Don Mitchell,Palliser
1340,Liberal,Chris Brown,Peace River--Westlock
1341,Rhinoceros,Donovan Eckstrom,Edmonton Strathcona
1342,Bloc Québécois,Julie Benoît,Lac-Saint-Louis
1343,NDP-New Democratic Party,Brad Pye,Dartmouth--Cole Harbour
1344,NDP-New Democratic Party,Anastasia Zavarella,Wellington--Halton Hills
1345,Marijuana Party,Dan Banov,Pitt Meadows--Maple Ridge--Mission
1346,NDP-New Democratic Party,Shawna Knowles,Calgary West
1347,NDP-New Democratic Party,Peter Lawrence Ferguson,London West
1348,Liberal,Gilles Landry,Portneuf--Jacques-Cartier
1349,NDP-New Democratic Party,Ross Martin,Provencher
1350,Conservative,Stephen Harper,Calgary Southwest
1351,Marxist-Leninist,Ron Walker,Welland
1352,ML,Christian Legeais,Ottawa--Vanier
1353,Green Party,Chris Vallee,Edmonton Manning
1354,NDP-New Democratic Party,Jean-Luc Daigle,Bellechasse--Les Etchemins--Lévis
1355,Conservative,Elizabeth M. Pagtakhan,Vancouver East
1356,People's Party,Stephen Makk,Simcoe North
1357,Bloc Québécois,Natalie Laplante,Pierrefonds--Dollard
1358,Christian Heritage Party,John H. Wubs,Brant
1359,Green Party,Guy Dostaler,Gatineau
1360,NDP-New Democratic Party,John Harris,Haldimand--Norfolk
1361,Conservative,Jim Hillyer,Lethbridge
1362,Green Party,N. Bruce Farrell,Cumberland--Colchester--Musquodoboit Valley
1363,Green Party,Kaitlin Wainwright,Random--Burin--St. George's
1364,NDP-New Democratic Party,Isabelle Maguire,La Pointe-de-l'�le
1365,Green Party,Stephen Eli Harris,St. John's East
1366,Liberal,Bang-Gu Jiang,Markham--Unionville
1367,Liberal,Wendy Yuan,Vancouver Kingsway
1368,Liberal,Bobby Morrissey,Egmont
1369,Communist,Ivan Byard,Toronto--Danforth
1370,NDP-New Democratic Party,Paulina Ayala,Honor�-Mercier
1371,Marxist-Leninist,David Gershuny,Oshawa
1372,Green Party,Philippe Rousselle,Acadie--Bathurst
1373,Liberal,Liz Riley,Simcoe North
1374,Conservative,Peter Kent,St. Paul's
1375,Conservative,Rahim Jaffer,Edmonton--Strathcona
1376,Conservative,Nolan LeBlanc-Bauerle,Brome--Missisquoi
1377,Libertarian,Matt Kadioglu,Vancouver Kingsway
1378,Parti Rhinocéros Party,Derek Miller,Ottawa--Vanier
1379,Green Party,Karen Durant,Abbotsford
1380,People's Party,Andrew Sainz-Nieto,Niagara Centre
1381,Liberal,John Oliver,Oakville
1382,NDP-New Democratic Party,Bob Senff,Brandon--Souris
1383,Liberal,Detlev Regelsky,Selkirk--Interlake--Eastman
1384,NDP-New Democratic Party,Mike Butler,Edmonton--Mill Woods--Beaumont
1385,CHP Canada,Baird Judson,Charlottetown
1386,Liberal,Cindy Duncan McMillan,Pontiac
1387,Conservative,Josée Bélanger,Berthier--Maskinongé
1388,NDP-New Democratic Party,V�ronique Poulin,Beauce
1389,Conservative,Robert Thomas Strickland,Sackville--Preston--Chezzetcook
1390,Liberal,David Smith,Pontiac
1391,Conservative,Emilio Migliozzi,Laval
1392,Marxist-Leninist,Linda Sullivan,Westmount--Ville-Marie
1393,NDP-New Democratic Party,Joseph Hakizimana,Rivière-des-Mille-Îles
1394,People's Party,Ron Nowlan,Miramichi--Grand Lake
1395,NDP-New Democratic Party,Robert Chisholm,Dartmouth--Cole Harbour
1396,Green Party,Yvan Dutil,Qu�bec
1397,Conservative,Nikki Kaur,Hamilton East--Stoney Creek
1398,Christian Heritage Party,Bill Bylsma,St. Catharines
1399,Green Party,Robert Mellalieu,Central Okanagan--Similkameen--Nicola
1400,Forces et Démocratie - Allier les forces de nos régions,Pascal Médieu,Pontiac
1401,Christian Heritage Party,Jeff Willerton,Saskatoon--University
1402,Green Party,Silvaine Zimmermann,West Vancouver--Sunshine Coast--Sea to Sky Country
1403,Green Party,Allie Tulick,Calgary Heritage
1404,Conservative,Martha MacQuarrie,Kings--Hants
1405,Green Party,Richard Pietro,Mississauga East--Cooksville
1406,ML,Peggy Morton,Edmonton Centre
1407,NDP-New Democratic Party,Dale Jackaman,Richmond
1408,Conservative,Vincent Veerasuntharam,Scarborough Southwest
1409,Green Party,Jean-Luc Cooke,Nepean--Carleton
1410,Liberal,Yvan Baker,Etobicoke Centre
1411,Parti Rhinocéros Party,Nicholas Tan,Kings--Hants
1412,ML,Christine Dandenault,Hochelaga
1413,Bloc Qu�b�cois,Pierre Forest,Jonqui�re--Alma
1414,Liberal,Bryon Wilfert,Richmond Hill
1415,Green Party,Michele Braniff,Cambridge
1416,Liberal,Kerry Cundal,Calgary Signal Hill
1417,Independent,Randy Wayne Dawe,Avalon
1418,Christian Heritage Party,Susanne Lefebvre,Papineau
1419,Green Party,Louise Anna-Marie Comeau,Fredericton
